entity_id,is_launderer,T1_logit,T2_logit,T3_logit,T4_logit,T1_gboost,T2_gboost,T3_gboost,T4_gboost
E0,0,0.08905579933667891,0.025165037403217762,5.363297218291434e-07,1.5656123233111176e-07,3.0746725156943126e-05,2.84829141249119e-05,2.1453687575180574e-05,2.1315093299128665e-05
E1,0,0.2512557519674082,0.6377306562923193,0.02484497902060937,0.005683946845820563,0.0010302141251233594,0.062486688911155976,0.8800600465675946,0.7789546559269228
E2,0,0.4599123254533692,0.03458603837991781,2.493600637988854e-05,1.1770921229697599e-05,0.005212748760657266,2.4723692231845105e-05,1.6715357292930226e-05,1.8240226321611484e-05
E3,0,0.5034534885140506,0.2618084616367361,0.0012264193865162058,0.00040431120143875134,0.02867340550033044,2.1749202788282255e-05,2.1647133105590113e-05,2.0219539166411076e-05
E4,0,0.2225049091256242,0.1448786233761121,1.0271567006307676e-05,1.6549961438679404e-06,0.005343540246640347,0.004446647746725603,0.0001248555885524094,8.082665344925803e-05
E5,0,0.07250852638000133,0.1141629857322873,0.001501533234028013,0.0006278632051469159,3.35216629221462e-05,2.9084691020978314e-05,2.4049654893438368e-05,4.0941786738635034e-05
E6,0,0.30127193227926263,0.05272959237687395,8.844332167616677e-06,2.0696740385457907e-06,0.00048353049467433033,1.8245300709286026e-05,1.8487564625005138e-05,1.5292030756925678e-05
E7,0,0.4195235953773884,0.13842168729670887,0.0011154593122779963,0.0008960604693887686,0.012755600186408651,0.000512962120950845,4.8020810091898704e-05,2.9854969483965203e-05
E8,0,0.6497440946608201,0.191706127705231,0.00011598980174278118,0.00019323343860509385,8.412401168115028e-05,8.962132605376328e-05,4.498829844645608e-05,1.945283663413099e-05
E9,0,0.6992293090226699,0.5999853987787633,6.522027854838975e-05,1.0385601164726262e-05,0.015420887968003396,0.00017771996858548486,2.5101136314667073e-05,1.872466928145743e-05
E10,0,0.487122260844724,0.07622638582311406,0.00082937269454283,0.0016183150844856944,0.0003704607193822517,0.0016620958380716014,0.0034578437401181533,0.00029663397822736037
E11,0,0.5350533148507423,0.13216501485858642,0.00417237096718261,0.002005599364818138,0.0002210985052156812,2.171374320686321e-05,0.00021340783046417555,0.00020452705026972136
E12,0,0.8627488609857273,0.12496969429558755,0.00033917289030709286,8.837729935404296e-05,0.033228947069891636,0.0002718464753263304,3.4550505166769655e-05,2.1620365963762366e-05
E13,0,0.47388866224431175,0.5673206019733357,0.0023111715774543,0.39969658130113744,0.0005063472813324658,0.00041110596750655283,0.000564536320628427,0.040675934902447794
E14,0,0.38436627463915063,0.01551326822125617,4.1472253689722324e-05,2.0851855491400614e-05,0.0012751088475819322,2.177197919921311e-05,5.197816201752902e-05,6.722659298106839e-05
E15,0,0.09404156579399932,0.002217620468469643,4.331589700742756e-06,1.0782216294764936e-06,0.00013427782723165853,6.289514440144279e-05,1.8001175651044663e-05,1.8994857875919308e-05
E16,0,0.5076883102993067,0.05056501991475193,1.0219973118844518e-05,8.814598962759062e-06,0.0006097249840701426,2.1631606498511593e-05,1.998498541268235e-05,2.0020564784274793e-05
